block_txs,compression_ratio
150,0.987520
131,0.984823
419,0.994615
326,0.994498
264,0.993296
27,0.932065
392,0.993940
626,0.996111
11,0.845440
318,0.994033
167,0.986947
271,0.993284
266,0.991071
8,0.910394
84,0.976031
114,0.985937
487,0.995448
17,0.929178
97,0.982600
374,0.993943
95,0.961509
171,0.991811
33,0.960769
57,0.962880
673,0.996227
241,0.989622
2064,0.998936
35,0.956971
152,0.986510
334,0.995607
72,0.972580
257,0.991288
23,0.945593
119,0.985446
31,0.958071
233,0.989439
201,0.991962
298,0.993874
151,0.984518
291,0.993624
289,0.996118
208,0.991346
194,0.988249
18,0.908509
266,0.994813
3,0.833611
409,0.994292
102,0.987178
50,0.969559
32,0.955850
217,0.986866
164,0.988485
112,0.981025
99,0.981611
4,0.694190
285,0.991840
50,0.967763
645,0.995472
47,0.962349
4,0.717514
532,0.995464
39,0.960223
98,0.978113
14,0.870801
12,0.965847
426,0.993715
700,0.996044
595,0.995558
564,0.994642
353,0.993210
144,0.984089
178,0.990398
1125,0.998357
104,0.983117
20,0.906542
136,0.984515
139,0.985063
81,0.977416
468,0.994631
168,0.989629
90,0.977763
495,0.995021
76,0.985509
440,0.995714
8,0.738220
562,0.995853
31,0.937965
855,0.997322
